PQID,CMT,UNM,CAT,Year,Month,Day
72796,1,Charlie Sharpsteen,O,2011,1,4
72798,1,Justin Clift,O,2011,1,4
110692,1,Charlie Sharpsteen,M,2011,1,4
72406,1,Mx A. Matienzo,O,2011,1,8
72760,1,Mx A. Matienzo,O,2011,1,8
72761,1,Mx A. Matienzo,O,2011,1,8
110056,7,Mike McQuaid,M,2011,1,8
72748,1,Peter Aronoff,O,2011,1,9
72741,1,Mx A. Matienzo,O,2011,1,10
72723,1,Mike McQuaid,O,2011,1,12
72709,1,Justin Clift,O,2011,1,13
72699,1,Peter Aronoff,O,2011,1,14
72677,1,Mx A. Matienzo,O,2011,1,16
72729,2,Mike McQuaid,O,2011,1,16
111858,3,Mx A. Matienzo,M,2011,1,16
111926,2,Justin Clift,M,2011,1,18
72630,1,Justin Clift,O,2011,1,18
110318,6,Adam Vandenberg,M,2011,1,23
72521,2,Justin Clift,O,2011,1,25
72508,1,Justin Clift,O,2011,1,26
72477,1,Peter Aronoff,O,2011,1,27
110739,1,Peter Aronoff,M,2011,1,27
110841,4,Max Howell,M,2011,1,27
72408,1,Mx A. Matienzo,O,2011,2,5
72400,1,Charlie Sharpsteen,O,2011,2,6
72378,1,Birger J. Nordølum,O,2011,2,9
72379,1,Alexis Hildebrandt,O,2011,2,9
72380,1,Alexis Hildebrandt,O,2011,2,9
73324,24,Alexis Hildebrandt,O,2011,2,9
72360,1,Charlie Sharpsteen,O,2011,2,11
72361,1,Charlie Sharpsteen,O,2011,2,11
72356,1,Charlie Sharpsteen,O,2011,2,12
72357,1,Charlie Sharpsteen,O,2011,2,12
72359,1,Charlie Sharpsteen,O,2011,2,12
110057,1,Mike McQuaid,M,2011,2,12
110319,2,Adam Vandenberg,M,2011,2,12
110693,1,Charlie Sharpsteen,M,2011,2,12
72344,1,Peter Aronoff,O,2011,2,13
72336,1,Mx A. Matienzo,O,2011,2,14
72323,1,Birger J. Nordølum,O,2011,2,15
72324,1,Birger J. Nordølum,O,2011,2,15
72310,1,Alexis Hildebrandt,O,2011,2,16
72311,1,Alexis Hildebrandt,O,2011,2,16
72312,1,Alexis Hildebrandt,O,2011,2,16
72313,1,Alexis Hildebrandt,O,2011,2,16
72314,2,Alexis Hildebrandt,O,2011,2,16
72316,3,Alexis Hildebrandt,O,2011,2,16
72322,6,Alexis Hildebrandt,O,2011,2,16
72329,6,Alexis Hildebrandt,O,2011,2,16
72424,57,Alexis Hildebrandt,O,2011,2,16
72283,6,Camillo Lugaresi,O,2011,2,17
72285,1,Justin Clift,O,2011,2,17
72286,1,Justin Clift,O,2011,2,17
72298,1,Justin Clift,O,2011,2,17
72284,1,Birger J. Nordølum,O,2011,2,18
72278,1,Birger J. Nordølum,O,2011,2,19
72279,1,Birger J. Nordølum,O,2011,2,19
72280,1,Birger J. Nordølum,O,2011,2,19
69619,171,David Li,O,2011,2,20
69709,167,David Li,O,2011,2,20
71948,5,Adam Vandenberg,O,2011,2,20
72269,1,David Li,O,2011,2,20
72257,2,Peter Aronoff,O,2011,2,21
72272,17,Adam Vandenberg,O,2011,2,21
72220,1,Alexis Hildebrandt,O,2011,2,22
72234,1,Lars,O,2011,2,22
72235,1,Lars,O,2011,2,22
72237,1,Lars,O,2011,2,22
72238,1,Lars,O,2011,2,22
72239,1,Lars,O,2011,2,22
72240,1,Lars,O,2011,2,22
72241,1,Lars,O,2011,2,22
113367,2,Lars,M,2011,2,22
72198,1,Charlie Sharpsteen,O,2011,2,25
72200,1,Charlie Sharpsteen,O,2011,2,25
72202,1,Lars,O,2011,2,25
72203,1,Lars,O,2011,2,25
72223,3,Charlie Sharpsteen,O,2011,2,25
66352,195,Vlad Lazar,O,2011,2,27
72174,1,Vlad Lazar,O,2011,2,27
69545,104,Lars,O,2011,2,28
71288,56,Lars,O,2011,2,28
71289,56,Lars,O,2011,2,28
71290,56,Lars,O,2011,2,28
71537,45,Lars,O,2011,2,28
71542,45,Lars,O,2011,2,28
71683,37,Lars,O,2011,2,28
71801,27,Lars,O,2011,2,28
72113,8,Lars,O,2011,2,28
72164,1,Lars,O,2011,2,28
72135,1,Alexis Hildebrandt,O,2011,3,1
72136,2,Peter Aronoff,O,2011,3,1
72139,1,Birger J. Nordølum,O,2011,3,1
72127,1,Peter Aronoff,O,2011,3,2
72118,1,Birger J. Nordølum,O,2011,3,3
72119,1,Alexis Hildebrandt,O,2011,3,3
72124,1,Alexis Hildebrandt,O,2011,3,3
113368,1,Lars,M,2011,3,4
110320,42,Adam Vandenberg,M,2011,3,5
72084,1,Charlie Sharpsteen,O,2011,3,6
72086,1,Charlie Sharpsteen,O,2011,3,6
72087,1,Birger J. Nordølum,O,2011,3,6
72076,1,Charlie Sharpsteen,O,2011,3,7
72077,1,Alexis Hildebrandt,O,2011,3,7
70886,30,Charlie Sharpsteen,O,2011,3,8
72063,1,Charlie Sharpsteen,O,2011,3,8
110694,3,Charlie Sharpsteen,M,2011,3,8
72056,1,Camillo Lugaresi,O,2011,3,9
110842,1,Max Howell,M,2011,3,13
72024,1,Birger J. Nordølum,O,2011,3,14
72011,1,Camillo Lugaresi,O,2011,3,15
72016,1,Birger J. Nordølum,O,2011,3,15
72592,31,Mike McQuaid,O,2011,3,15
111887,2,Camillo Lugaresi,M,2011,3,15
71974,1,Birger J. Nordølum,O,2011,3,18
71975,1,Birger J. Nordølum,O,2011,3,18
71980,1,Birger J. Nordølum,O,2011,3,18
71981,1,Birger J. Nordølum,O,2011,3,18
71983,1,Birger J. Nordølum,O,2011,3,18
71965,1,Birger J. Nordølum,O,2011,3,19
71957,1,Birger J. Nordølum,O,2011,3,20
71941,1,Birger J. Nordølum,O,2011,3,21
71921,1,Birger J. Nordølum,O,2011,3,23
71908,3,Birger J. Nordølum,O,2011,3,25
71909,1,Birger J. Nordølum,O,2011,3,25
71910,1,Birger J. Nordølum,O,2011,3,25
110458,8,Birger J. Nordølum,M,2011,3,25
71869,1,Birger J. Nordølum,O,2011,3,26
71870,1,Birger J. Nordølum,O,2011,3,26
71896,1,Birger J. Nordølum,O,2011,3,26
71897,1,Birger J. Nordølum,O,2011,3,26
71898,1,Birger J. Nordølum,O,2011,3,26
71886,1,Mx A. Matienzo,O,2011,3,27
71888,1,Birger J. Nordølum,O,2011,3,27
71889,1,Birger J. Nordølum,O,2011,3,27
71866,1,Birger J. Nordølum,O,2011,3,28
71845,1,Charlie Sharpsteen,O,2011,3,29
71846,1,Mx A. Matienzo,O,2011,3,29
71847,1,Mx A. Matienzo,O,2011,3,29
71853,1,Birger J. Nordølum,O,2011,3,29
110058,3,Mike McQuaid,M,2011,3,29
111859,1,Mx A. Matienzo,M,2011,3,29
71839,1,Mx A. Matienzo,O,2011,3,30
71824,1,Charlie Sharpsteen,O,2011,4,1
71825,1,Charlie Sharpsteen,O,2011,4,1
71827,1,Charlie Sharpsteen,O,2011,4,1
71828,1,Charlie Sharpsteen,O,2011,4,1
71829,1,Charlie Sharpsteen,O,2011,4,1
71830,1,Charlie Sharpsteen,O,2011,4,1
71819,1,Birger J. Nordølum,O,2011,4,2
71804,1,Charlie Sharpsteen,O,2011,4,3
71810,1,Birger J. Nordølum,O,2011,4,3
71811,1,Birger J. Nordølum,O,2011,4,3
71785,1,Birger J. Nordølum,O,2011,4,4
71786,1,Birger J. Nordølum,O,2011,4,4
64362,152,YoungTaek Oh,O,2011,4,5
71777,1,Birger J. Nordølum,O,2011,4,5
71780,4,YoungTaek Oh,O,2011,4,5
71784,1,Birger J. Nordølum,O,2011,4,5
110059,3,Mike McQuaid,M,2011,4,5
110321,27,Adam Vandenberg,M,2011,4,5
71763,1,Birger J. Nordølum,O,2011,4,7
71752,1,Charlie Sharpsteen,O,2011,4,8
110695,3,Charlie Sharpsteen,M,2011,4,8
71739,1,Jack Nagel,O,2011,4,9
71730,1,Adam Vandenberg,O,2011,4,10
71733,1,Birger J. Nordølum,O,2011,4,10
71734,1,Birger J. Nordølum,O,2011,4,10
71738,1,Birger J. Nordølum,O,2011,4,10
71740,1,Birger J. Nordølum,O,2011,4,10
71741,1,Birger J. Nordølum,O,2011,4,10
71742,1,Birger J. Nordølum,O,2011,4,10
71743,1,Birger J. Nordølum,O,2011,4,10
71744,1,Birger J. Nordølum,O,2011,4,10
71714,1,Mx A. Matienzo,O,2011,4,11
71715,1,Mx A. Matienzo,O,2011,4,11
71720,1,Birger J. Nordølum,O,2011,4,11
71705,1,Charlie Sharpsteen,O,2011,4,12
71706,1,Birger J. Nordølum,O,2011,4,12
71707,1,Birger J. Nordølum,O,2011,4,12
71687,1,Jack Nagel,O,2011,4,13
71689,1,Jack Nagel,O,2011,4,13
71691,1,Mx A. Matienzo,O,2011,4,13
71692,1,Mx A. Matienzo,O,2011,4,13
71698,2,Charlie Sharpsteen,O,2011,4,13
110663,5,Jack Nagel,M,2011,4,13
111860,2,Mx A. Matienzo,M,2011,4,13
68081,9,Samuel John,O,2011,4,14
68087,6,Samuel John,O,2011,4,14
71666,1,Birger J. Nordølum,O,2011,4,14
71667,1,Birger J. Nordølum,O,2011,4,14
71670,1,Birger J. Nordølum,O,2011,4,14
71672,1,Samuel John,O,2011,4,14
71675,1,Alexis Hildebrandt,O,2011,4,14
71676,1,Birger J. Nordølum,O,2011,4,14
71677,1,Alexis Hildebrandt,O,2011,4,14
71682,7,Alexis Hildebrandt,O,2011,4,14
71661,1,Jack Nagel,O,2011,4,15
71662,1,Birger J. Nordølum,O,2011,4,15
71663,1,Birger J. Nordølum,O,2011,4,15
110459,8,Birger J. Nordølum,M,2011,4,15
71639,1,Jack Nagel,O,2011,4,19
71447,1,Birger J. Nordølum,O,2011,4,20
71633,1,Birger J. Nordølum,O,2011,4,20
71617,1,Jack Nagel,O,2011,4,21
71620,1,Jack Nagel,O,2011,4,21
71608,9,Adam Vandenberg,O,2011,4,22
71597,1,Mx A. Matienzo,O,2011,4,24
71591,1,Jack Nagel,O,2011,4,25
71352,111,Alexis Hildebrandt,O,2011,4,27
71483,1,Alexis Hildebrandt,O,2011,4,27
71485,1,Alexis Hildebrandt,O,2011,4,27
71487,1,Alexis Hildebrandt,O,2011,4,27
71488,1,Alexis Hildebrandt,O,2011,4,27
71489,1,Alexis Hildebrandt,O,2011,4,27
71491,1,Alexis Hildebrandt,O,2011,4,27
71492,1,Alexis Hildebrandt,O,2011,4,27
71493,1,Alexis Hildebrandt,O,2011,4,27
71495,1,Alexis Hildebrandt,O,2011,4,27
71499,1,Birger J. Nordølum,O,2011,4,27
71500,1,Birger J. Nordølum,O,2011,4,27
71501,1,Birger J. Nordølum,O,2011,4,27
109957,3,Alexis Hildebrandt,M,2011,4,27
71460,1,Jack Nagel,O,2011,4,28
110843,1,Max Howell,M,2011,4,28
71448,1,Birger J. Nordølum,O,2011,4,30
71397,1,Alexis Hildebrandt,O,2011,5,2
71403,1,Charlie Sharpsteen,O,2011,5,2
71405,1,Charlie Sharpsteen,O,2011,5,2
71408,1,Charlie Sharpsteen,O,2011,5,2
71419,1,Charlie Sharpsteen,O,2011,5,2
110696,4,Charlie Sharpsteen,M,2011,5,2
71341,1,Jack Nagel,O,2011,5,4
71350,1,Jack Nagel,O,2011,5,4
71361,1,Charlie Sharpsteen,O,2011,5,4
71337,2,Charlie Sharpsteen,O,2011,5,5
71339,1,Charlie Sharpsteen,O,2011,5,5
71342,1,Charlie Sharpsteen,O,2011,5,5
71326,1,Jack Nagel,O,2011,5,6
71321,1,Jack Nagel,O,2011,5,7
71312,1,Jack Nagel,O,2011,5,9
71315,1,Mx A. Matienzo,O,2011,5,9
71132,1,Misty De Meo,O,2011,5,10
71302,1,Misty De Meo,O,2011,5,10
71303,1,Misty De Meo,O,2011,5,10
110060,4,Mike McQuaid,M,2011,5,11
113369,2,Lars,M,2011,5,12
71266,1,Charlie Sharpsteen,O,2011,5,13
71251,1,Jack Nagel,O,2011,5,14
71252,1,Birger J. Nordølum,O,2011,5,14
71256,1,Mx A. Matienzo,O,2011,5,14
71258,1,Birger J. Nordølum,O,2011,5,14
71259,1,Birger J. Nordølum,O,2011,5,14
71242,1,Birger J. Nordølum,O,2011,5,15
71243,1,Birger J. Nordølum,O,2011,5,15
71244,1,Birger J. Nordølum,O,2011,5,15
71245,1,Birger J. Nordølum,O,2011,5,15
71248,1,Birger J. Nordølum,O,2011,5,15
110460,2,Birger J. Nordølum,M,2011,5,15
71228,1,Birger J. Nordølum,O,2011,5,16
71229,1,Birger J. Nordølum,O,2011,5,16
71230,1,Birger J. Nordølum,O,2011,5,16
71231,1,Birger J. Nordølum,O,2011,5,16
71235,1,Charlie Sharpsteen,O,2011,5,16
110322,8,Adam Vandenberg,M,2011,5,16
71218,1,Birger J. Nordølum,O,2011,5,17
71060,2,Mike McQuaid,O,2011,5,18
71191,2,Mike McQuaid,O,2011,5,18
71209,1,Charlie Sharpsteen,O,2011,5,18
71210,1,Charlie Sharpsteen,O,2011,5,18
71194,2,Charlie Sharpsteen,O,2011,5,19
71201,1,Jack Nagel,O,2011,5,19
71171,1,Birger J. Nordølum,O,2011,5,21
71173,1,Jack Nagel,O,2011,5,21
71165,1,Birger J. Nordølum,O,2011,5,22
71166,1,Birger J. Nordølum,O,2011,5,22
71161,1,Mx A. Matienzo,O,2011,5,23
71140,1,Charlie Sharpsteen,O,2011,5,24
71112,1,Misty De Meo,O,2011,5,25
71113,1,Misty De Meo,O,2011,5,25
71133,1,Birger J. Nordølum,O,2011,5,25
71134,1,Birger J. Nordølum,O,2011,5,25
71119,1,Jack Nagel,O,2011,5,26
71121,1,Birger J. Nordølum,O,2011,5,26
71122,1,Misty De Meo,O,2011,5,26
71110,1,Jack Nagel,O,2011,5,27
71101,1,Birger J. Nordølum,O,2011,5,28
71102,1,Jack Nagel,O,2011,5,28
71104,1,Charlie Sharpsteen,O,2011,5,28
79799,1,Birger J. Nordølum,O,2011,5,28
71094,1,Jack Nagel,O,2011,5,29
71095,1,Jack Nagel,O,2011,5,29
71086,1,Charlie Sharpsteen,O,2011,5,30
71087,1,Charlie Sharpsteen,O,2011,5,30
71088,1,Charlie Sharpsteen,O,2011,5,30
71089,3,Charlie Sharpsteen,O,2011,5,30
71090,1,Jack Nagel,O,2011,5,30
71081,1,Charlie Sharpsteen,O,2011,5,31
71070,1,Jack Nagel,O,2011,6,1
71064,1,Birger J. Nordølum,O,2011,6,2
71065,1,Birger J. Nordølum,O,2011,6,2
71044,1,Jack Nagel,O,2011,6,4
71032,1,Justin Clift,O,2011,6,5
71023,1,Camillo Lugaresi,O,2011,6,7
71024,1,Camillo Lugaresi,O,2011,6,7
71012,1,Mx A. Matienzo,O,2011,6,8
71013,1,Mx A. Matienzo,O,2011,6,8
71005,1,Mx A. Matienzo,O,2011,6,9
71007,1,Mx A. Matienzo,O,2011,6,9
70993,1,Jack Nagel,O,2011,6,11
70970,1,Jack Nagel,O,2011,6,13
70971,1,Jack Nagel,O,2011,6,13
70950,1,Justin Clift,O,2011,6,14
70954,1,Mx A. Matienzo,O,2011,6,14
70958,1,Mx A. Matienzo,O,2011,6,14
70961,1,Justin Clift,O,2011,6,14
70962,1,Justin Clift,O,2011,6,14
111861,1,Mx A. Matienzo,M,2011,6,14
110697,2,Charlie Sharpsteen,M,2011,6,16
70925,1,Charlie Sharpsteen,O,2011,6,16
70900,1,Charlie Sharpsteen,O,2011,6,18
70876,1,Charlie Sharpsteen,O,2011,6,19
70775,1,Charlie Sharpsteen,O,2011,6,20
70763,1,Charlie Sharpsteen,O,2011,6,21
70767,1,Jack Nagel,O,2011,6,21
71374,64,Mike McQuaid,O,2011,6,21
110664,1,Jack Nagel,M,2011,6,21
70718,2,Trevor Wennblom,O,2011,6,23
70722,1,Trevor Wennblom,O,2011,6,23
70690,1,Alexis Hildebrandt,O,2011,6,24
70691,1,Alexis Hildebrandt,O,2011,6,24
70703,6,Alexis Hildebrandt,O,2011,6,24
71409,110,Alexis Hildebrandt,O,2011,6,24
71987,83,Alexis Hildebrandt,O,2011,6,24
70680,1,Trevor Wennblom,O,2011,6,25
70682,1,Trevor Wennblom,O,2011,6,25
70643,1,Jack Nagel,O,2011,6,26
70650,1,Jack Nagel,O,2011,6,26
70660,1,Trevor Wennblom,O,2011,6,26
70663,1,Trevor Wennblom,O,2011,6,26
70665,1,Trevor Wennblom,O,2011,6,26
70670,1,Trevor Wennblom,O,2011,6,26
70629,2,Charlie Sharpsteen,O,2011,6,27
70635,1,Charlie Sharpsteen,O,2011,6,27
69136,23,Misty De Meo,O,2011,6,29
70512,1,Charlie Sharpsteen,O,2011,6,29
70523,1,Charlie Sharpsteen,O,2011,6,29
70527,1,Charlie Sharpsteen,O,2011,6,29
70544,1,Charlie Sharpsteen,O,2011,6,29
70547,1,Misty De Meo,O,2011,6,29
70551,1,Charlie Sharpsteen,O,2011,6,29
70426,1,Jack Nagel,O,2011,7,1
70429,1,Jack Nagel,O,2011,7,1
70410,1,Jack Nagel,O,2011,7,2
70355,1,Justin Clift,O,2011,7,4
70362,1,Jack Nagel,O,2011,7,4
70364,1,Jack Nagel,O,2011,7,4
70331,1,Mx A. Matienzo,O,2011,7,5
70303,1,Jack Nagel,O,2011,7,6
70310,1,Misty De Meo,O,2011,7,6
70294,1,Misty De Meo,O,2011,7,7
70278,1,Misty De Meo,O,2011,7,8
70280,1,Charlie Sharpsteen,O,2011,7,8
70235,1,Lin Jen-Shin (godfat),O,2011,7,10
70239,1,Lin Jen-Shin (godfat),O,2011,7,10
70253,1,Lin Jen-Shin (godfat),O,2011,7,10
70255,1,Charlie Sharpsteen,O,2011,7,10
70258,4,Lin Jen-Shin (godfat),O,2011,7,10
110549,1,Lin Jen-Shin (godfat),M,2011,7,10
70217,1,Jack Nagel,O,2011,7,11
70177,1,Mx A. Matienzo,O,2011,7,14
70147,1,Trevor Wennblom,O,2011,7,16
69999,1,Charlie Sharpsteen,O,2011,7,17
70093,1,Charlie Sharpsteen,O,2011,7,17
70099,1,Charlie Sharpsteen,O,2011,7,17
110323,7,Adam Vandenberg,M,2011,7,17
70082,1,Jack Nagel,O,2011,7,18
70054,1,Misty De Meo,O,2011,7,19
70032,1,Charlie Sharpsteen,O,2011,7,20
70033,1,Mx A. Matienzo,O,2011,7,20
111862,1,Mx A. Matienzo,M,2011,7,20
110740,1,Peter Aronoff,M,2011,7,20
110698,1,Charlie Sharpsteen,M,2011,7,21
69996,2,Trevor Wennblom,O,2011,7,21
70005,1,Jack Nagel,O,2011,7,21
70006,1,Charlie Sharpsteen,O,2011,7,21
110061,1,Mike McQuaid,M,2011,7,21
69972,1,Trevor Wennblom,O,2011,7,22
69948,11,Adam Vandenberg,O,2011,7,23
69956,1,Charlie Sharpsteen,O,2011,7,23
69958,1,Peter Aronoff,O,2011,7,23
69945,7,Adam Vandenberg,O,2011,7,24
69836,1,Jack Nagel,O,2011,7,25
69838,1,Jack Nagel,O,2011,7,25
69875,1,Jack Nagel,O,2011,7,25
69895,1,Charlie Sharpsteen,O,2011,7,25
69898,1,Mx A. Matienzo,O,2011,7,25
110665,4,Jack Nagel,M,2011,7,25
69813,1,Jack Nagel,O,2011,7,26
110844,5,Max Howell,M,2011,7,27
73006,6,Mike McQuaid,O,2011,7,28
69716,1,Camillo Lugaresi,O,2011,7,29
69781,76,Mike McQuaid,O,2011,7,29
69692,1,Jack Nagel,O,2011,7,30
69697,2,Peter Aronoff,O,2011,7,30
69615,1,Jack Nagel,O,2011,7,31
69617,1,Jack Nagel,O,2011,7,31
69589,1,Camillo Lugaresi,O,2011,8,1
69592,1,Camillo Lugaresi,O,2011,8,1
69599,1,Mx A. Matienzo,O,2011,8,1
69513,1,Mx A. Matienzo,O,2011,8,3
69516,1,Justin Clift,O,2011,8,3
69488,3,Peter Aronoff,O,2011,8,5
69490,2,Peter Aronoff,O,2011,8,5
69458,1,Camillo Lugaresi,O,2011,8,6
69449,1,Charlie Sharpsteen,O,2011,8,7
69445,1,Charlie Sharpsteen,O,2011,8,8
69403,1,Alexis Hildebrandt,O,2011,8,9
69405,1,Alexis Hildebrandt,O,2011,8,9
69407,1,Alexis Hildebrandt,O,2011,8,9
69410,1,Alexis Hildebrandt,O,2011,8,9
69412,1,Alexis Hildebrandt,O,2011,8,9
69416,1,Misty De Meo,O,2011,8,9
69381,1,Jack Nagel,O,2011,8,10
69382,1,Jack Nagel,O,2011,8,10
69390,1,Misty De Meo,O,2011,8,10
68632,1,Mx A. Matienzo,O,2011,8,11
69331,1,Jack Nagel,O,2011,8,11
69288,1,Jack Nagel,O,2011,8,12
69313,1,Mx A. Matienzo,O,2011,8,12
69317,1,Mx A. Matienzo,O,2011,8,12
69246,1,Jack Nagel,O,2011,8,14
69255,1,Misty De Meo,O,2011,8,14
110324,7,Adam Vandenberg,M,2011,8,14
69226,1,Birger J. Nordølum,O,2011,8,15
69190,2,Birger J. Nordølum,O,2011,8,16
69115,1,Charlie Sharpsteen,O,2011,8,17
69118,1,Charlie Sharpsteen,O,2011,8,17
69120,2,Charlie Sharpsteen,O,2011,8,17
69122,1,Charlie Sharpsteen,O,2011,8,17
69151,1,Birger J. Nordølum,O,2011,8,17
110845,14,Max Howell,M,2011,8,17
69095,1,Birger J. Nordølum,O,2011,8,18
69044,1,Jack Nagel,O,2011,8,19
79788,1,Birger J. Nordølum,O,2011,8,19
69339,1,Mx A. Matienzo,O,2011,8,20
68917,1,Birger J. Nordølum,O,2011,8,22
68960,1,Adam Vandenberg,O,2011,8,22
68963,1,Trevor Wennblom,O,2011,8,22
68966,1,Trevor Wennblom,O,2011,8,22
68977,1,Trevor Wennblom,O,2011,8,22
68891,1,Misty De Meo,O,2011,8,24
68893,1,Misty De Meo,O,2011,8,24
68919,1,Trevor Wennblom,O,2011,8,24
68836,1,Trevor Wennblom,O,2011,8,25
68838,1,Trevor Wennblom,O,2011,8,25
68850,1,Charlie Sharpsteen,O,2011,8,25
110256,2,Trevor Wennblom,M,2011,8,25
110666,7,Jack Nagel,M,2011,8,25
110699,2,Charlie Sharpsteen,M,2011,8,25
67510,2,Jack Nagel,O,2011,8,26
68802,1,Trevor Wennblom,O,2011,8,26
68805,1,Trevor Wennblom,O,2011,8,26
68819,1,Misty De Meo,O,2011,8,26
68822,1,Misty De Meo,O,2011,8,26
110108,1,Misty De Meo,M,2011,8,26
68755,1,Trevor Wennblom,O,2011,8,28
68718,1,Jack Nagel,O,2011,8,29
68723,3,Charlie Sharpsteen,O,2011,8,29
68732,1,Trevor Wennblom,O,2011,8,29
68733,1,Trevor Wennblom,O,2011,8,29
68736,1,Trevor Wennblom,O,2011,8,29
68739,1,Trevor Wennblom,O,2011,8,29
68684,1,Trevor Wennblom,O,2011,8,30
68687,1,Trevor Wennblom,O,2011,8,30
68692,1,Trevor Wennblom,O,2011,8,30
68693,1,Trevor Wennblom,O,2011,8,30
68698,1,Trevor Wennblom,O,2011,8,30
68703,1,Misty De Meo,O,2011,8,30
68642,1,Trevor Wennblom,O,2011,8,31
68661,1,Trevor Wennblom,O,2011,8,31
68663,1,Birger J. Nordølum,O,2011,8,31
68665,1,Trevor Wennblom,O,2011,8,31
68671,1,Misty De Meo,O,2011,8,31
69380,1,Lars,O,2011,8,31
68616,1,Misty De Meo,O,2011,9,1
68624,1,Misty De Meo,O,2011,9,1
